Infinitive,повреди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повреди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повреждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повреди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,повреди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поврежу́
2nd Sing,повреди́шь
3rd Sing,повреди́т
1st Pl,повреди́м
2nd Pl,повреди́те
3rd Pl,повредя́т
Past M,повреди́л
Past F,повреди́ла
Past N,повреди́ло
Past PL,повреди́ли
Imp S,повреди́
Imp PL,повреди́те
