Infinitive,подои́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подои́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подои́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подои́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подою́
2nd Sing,подо́ишь
3rd Sing,подо́ит
1st Pl,подо́им
2nd Pl,подо́ите
3rd Pl,подо́ят
Past M,подои́л
Past F,подои́ла
Past N,подои́ло
Past PL,подои́ли
Imp S,подои́
Imp PL,подои́те
