Infinitive,постри́чь
Zaliznyak Class,8b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,постри́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постри́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,постри́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,постригу́
2nd Sing,пострижёшь
3rd Sing,пострижёт
1st Pl,пострижём
2nd Pl,пострижёте
3rd Pl,постригу́т
Past M,постри́г
Past F,постри́гла
Past N,постри́гло
Past PL,постри́гли
Imp S,постриги́
Imp PL,постриги́те
