Infinitive,пододви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пододви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пододви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пододви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пододви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пододви́ну
2nd Sing,пододви́нешь
3rd Sing,пододви́нет
1st Pl,пододви́нем
2nd Pl,пододви́нете
3rd Pl,пододви́нут
Past M,пододви́нул
Past F,пододви́нула
Past N,пододви́нуло
Past PL,пододви́нули
Imp S,пододви́нь
Imp PL,пододви́ньте
