Infinitive,полосну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,полосну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полосну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полосну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полосну́
2nd Sing,полоснёшь
3rd Sing,полоснёт
1st Pl,полоснём
2nd Pl,полоснёте
3rd Pl,полосну́т
Past M,полосну́л
Past F,полосну́ла
Past N,полосну́ло
Past PL,полосну́ли
Imp S,полосни́
Imp PL,полосни́те
