Infinitive,подразумева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подразумева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подразумева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подразумева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подразумева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подразумева́юсь
2nd Sing,подразумева́ешься
3rd Sing,подразумева́ется
1st Pl,подразумева́емся
2nd Pl,подразумева́етесь
3rd Pl,подразумева́ются
Past M,подразумева́лся
Past F,подразумева́лась
Past N,подразумева́лось
Past PL,подразумева́лись
Imp S,подразумева́йся
Imp PL,подразумева́йтесь
