Infinitive,пото́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пото́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пото́пав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пото́павши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пото́паю
2nd Sing,пото́паешь
3rd Sing,пото́пает
1st Pl,пото́паем
2nd Pl,пото́паете
3rd Pl,пото́пают
Past M,пото́пал
Past F,пото́пала
Past N,пото́пало
Past PL,пото́пали
Imp S,пото́пай
Imp PL,пото́пайте
