Infinitive,пообе́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пообе́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пообе́дав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пообе́давши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пообе́даю
2nd Sing,пообе́даешь
3rd Sing,пообе́дает
1st Pl,пообе́даем
2nd Pl,пообе́даете
3rd Pl,пообе́дают
Past M,пообе́дал
Past F,пообе́дала
Past N,пообе́дало
Past PL,пообе́дали
Imp S,пообе́дай
Imp PL,пообе́дайте
