Infinitive,поброса́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поброса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побро́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поброса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поброса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поброса́ю
2nd Sing,поброса́ешь
3rd Sing,поброса́ет
1st Pl,поброса́ем
2nd Pl,поброса́ете
3rd Pl,поброса́ют
Past M,поброса́л
Past F,поброса́ла
Past N,поброса́ло
Past PL,поброса́ли
Imp S,поброса́й
Imp PL,поброса́йте
