Infinitive,посовеща́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посовеща́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посовеща́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,посовеща́юсь
2nd Sing,посовеща́ешься
3rd Sing,посовеща́ется
1st Pl,посовеща́емся
2nd Pl,посовеща́етесь
3rd Pl,посовеща́ются
Past M,посовеща́лся
Past F,посовеща́лась
Past N,посовеща́лось
Past PL,посовеща́лись
Imp S,посовеща́йся
Imp PL,посовеща́йтесь
