Infinitive,пока́яться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пока́явшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́явшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пока́юсь
2nd Sing,пока́ешься
3rd Sing,пока́ется
1st Pl,пока́емся
2nd Pl,пока́етесь
3rd Pl,пока́ются
Past M,пока́ялся
Past F,пока́ялась
Past N,пока́ялось
Past PL,пока́ялись
Imp S,пока́йся
Imp PL,пока́йтесь
