Infinitive,попроша́йничать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попроша́йничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,попроша́йничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попроша́йничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,попроша́йничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,попроша́йничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,попроша́йничаю
2nd Sing,попроша́йничаешь
3rd Sing,попроша́йничает
1st Pl,попроша́йничаем
2nd Pl,попроша́йничаете
3rd Pl,попроша́йничают
Past M,попроша́йничал
Past F,попроша́йничала
Past N,попроша́йничало
Past PL,попроша́йничали
Imp S,попроша́йничай
Imp PL,попроша́йничайте
