Infinitive,полулежа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полулежа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,полулежа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полулёжа
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,полулежа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,полулежа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,полулежу́
2nd Sing,полулежи́шь
3rd Sing,полулежи́т
1st Pl,полулежи́м
2nd Pl,полулежи́те
3rd Pl,полулежа́т
Past M,полулежа́л
Past F,полулежа́ла
Past N,полулежа́ло
Past PL,полулежа́ли
Imp S,полулежи́
Imp PL,полулежи́те
