Infinitive,посере́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посере́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посере́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посере́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посере́ю
2nd Sing,посере́ешь
3rd Sing,посере́ет
1st Pl,посере́ем
2nd Pl,посере́ете
3rd Pl,посере́ют
Past M,посере́л
Past F,посере́ла
Past N,посере́ло
Past PL,посере́ли
Imp S,посере́й
Imp PL,посере́йте
