Infinitive,подбега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подбега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подбега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подбега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подбега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подбега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подбега́ю
2nd Sing,подбега́ешь
3rd Sing,подбега́ет
1st Pl,подбега́ем
2nd Pl,подбега́ете
3rd Pl,подбега́ют
Past M,подбега́л
Past F,подбега́ла
Past N,подбега́ло
Past PL,подбега́ли
Imp S,подбега́й
Imp PL,подбега́йте
