Infinitive,пореде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пореде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пореде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пореде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пореде́ю
2nd Sing,пореде́ешь
3rd Sing,пореде́ет
1st Pl,пореде́ем
2nd Pl,пореде́ете
3rd Pl,пореде́ют
Past M,пореде́л
Past F,пореде́ла
Past N,пореде́ло
Past PL,пореде́ли
Imp S,пореде́й
Imp PL,пореде́йте
