Infinitive,потре́боваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потре́бовавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потре́бовавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потре́буюсь
2nd Sing,потре́буешься
3rd Sing,потре́буется
1st Pl,потре́буемся
2nd Pl,потре́буетесь
3rd Pl,потре́буются
Past M,потре́бовался
Past F,потре́бовалась
Past N,потре́бовалось
Past PL,потре́бовались
Imp S,потре́буйся
Imp PL,потре́буйтесь
