Infinitive,полне́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полне́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,полне́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полне́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,полне́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,полне́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,полне́ю
2nd Sing,полне́ешь
3rd Sing,полне́ет
1st Pl,полне́ем
2nd Pl,полне́ете
3rd Pl,полне́ют
Past M,полне́л
Past F,полне́ла
Past N,полне́ло
Past PL,полне́ли
Imp S,полне́й
Imp PL,полне́йте
