Infinitive,польсти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,польсти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,польщённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,польсти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,польсти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,польщу́
2nd Sing,польсти́шь
3rd Sing,польсти́т
1st Pl,польсти́м
2nd Pl,польсти́те
3rd Pl,польстя́т
Past M,польсти́л
Past F,польсти́ла
Past N,польсти́ло
Past PL,польсти́ли
Imp S,польсти́
Imp PL,польсти́те
