Infinitive,поцелова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поцелова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поцело́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поцелова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поцелова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поцелу́ю
2nd Sing,поцелу́ешь
3rd Sing,поцелу́ет
1st Pl,поцелу́ем
2nd Pl,поцелу́ете
3rd Pl,поцелу́ют
Past M,поцелова́л
Past F,поцелова́ла
Past N,поцелова́ло
Past PL,поцелова́ли
Imp S,поцелу́й
Imp PL,поцелу́йте
