Infinitive,пожури́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пожури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожурённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пожури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пожури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пожурю́
2nd Sing,пожури́шь
3rd Sing,пожури́т
1st Pl,пожури́м
2nd Pl,пожури́те
3rd Pl,пожуря́т
Past M,пожури́л
Past F,пожури́ла
Past N,пожури́ло
Past PL,пожури́ли
Imp S,пожури́
Imp PL,пожури́те
