Infinitive,поощри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поощри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поощрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поощри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поощри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поощрю́
2nd Sing,поощри́шь
3rd Sing,поощри́т
1st Pl,поощри́м
2nd Pl,поощри́те
3rd Pl,поощря́т
Past M,поощри́л
Past F,поощри́ла
Past N,поощри́ло
Past PL,поощри́ли
Imp S,поощри́
Imp PL,поощри́те
