Infinitive,подска́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подска́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подска́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подска́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подска́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подска́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подска́киваю
2nd Sing,подска́киваешь
3rd Sing,подска́кивает
1st Pl,подска́киваем
2nd Pl,подска́киваете
3rd Pl,подска́кивают
Past M,подска́кивал
Past F,подска́кивала
Past N,подска́кивало
Past PL,подска́кивали
Imp S,подска́кивай
Imp PL,подска́кивайте
