Infinitive,подмести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подмётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подметённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подметя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подмётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подмету́
2nd Sing,подметёшь
3rd Sing,подметёт
1st Pl,подметём
2nd Pl,подметёте
3rd Pl,подмету́т
Past M,подмёл
Past F,подмела́
Past N,подмело́
Past PL,подмели́
Imp S,подмети́
Imp PL,подмети́те
