Infinitive,поскрести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поскрёбший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поскребённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поскрёбши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поскребу́
2nd Sing,поскребёшь
3rd Sing,поскребёт
1st Pl,поскребём
2nd Pl,поскребёте
3rd Pl,поскребу́т
Past M,поскрёб
Past F,поскребла́
Past N,поскребло́
Past PL,поскребли́
Imp S,поскреби́
Imp PL,поскреби́те
