Infinitive,поку́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поку́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поку́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поку́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поку́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поку́шаю
2nd Sing,поку́шаешь
3rd Sing,поку́шает
1st Pl,поку́шаем
2nd Pl,поку́шаете
3rd Pl,поку́шают
Past M,поку́шал
Past F,поку́шала
Past N,поку́шало
Past PL,поку́шали
Imp S,поку́шай
Imp PL,поку́шайте
