Infinitive,подбежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подбежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подбежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подбежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подбегу́
2nd Sing,подбежи́шь
3rd Sing,подбежи́т
1st Pl,подбежи́м
2nd Pl,подбежи́те
3rd Pl,подбегу́т
Past M,подбежа́л
Past F,подбежа́ла
Past N,подбежа́ло
Past PL,подбежа́ли
Imp S,подбеги́
Imp PL,подбеги́те
