Infinitive,пови́згивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пови́згивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пови́згивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пови́згивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пови́згивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пови́згивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пови́згиваю
2nd Sing,пови́згиваешь
3rd Sing,пови́згивает
1st Pl,пови́згиваем
2nd Pl,пови́згиваете
3rd Pl,пови́згивают
Past M,пови́згивал
Past F,пови́згивала
Past N,пови́згивало
Past PL,пови́згивали
Imp S,пови́згивай
Imp PL,пови́згивайте
