Infinitive,попы́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попы́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,попы́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попы́хивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,попы́хивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,попы́хивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,попы́хиваю
2nd Sing,попы́хиваешь
3rd Sing,попы́хивает
1st Pl,попы́хиваем
2nd Pl,попы́хиваете
3rd Pl,попы́хивают
Past M,попы́хивал
Past F,попы́хивала
Past N,попы́хивало
Past PL,попы́хивали
Imp S,попы́хивай
Imp PL,попы́хивайте
