Infinitive,поды́грывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поды́грывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поды́грывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поды́грывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поды́грывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поды́грывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поды́грываю
2nd Sing,поды́грываешь
3rd Sing,поды́грывает
1st Pl,поды́грываем
2nd Pl,поды́грываете
3rd Pl,поды́грывают
Past M,поды́грывал
Past F,поды́грывала
Past N,поды́грывало
Past PL,поды́грывали
Imp S,поды́грывай
Imp PL,поды́грывайте
