Infinitive,попла́вать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попла́вавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попла́вав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,попла́вавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,попла́ваю
2nd Sing,попла́ваешь
3rd Sing,попла́вает
1st Pl,попла́ваем
2nd Pl,попла́ваете
3rd Pl,попла́вают
Past M,попла́вал
Past F,попла́вала
Past N,попла́вало
Past PL,попла́вали
Imp S,попла́вай
Imp PL,попла́вайте
