Infinitive,подчини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подчини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подчинённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подчини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подчини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подчиню́
2nd Sing,подчини́шь
3rd Sing,подчини́т
1st Pl,подчини́м
2nd Pl,подчини́те
3rd Pl,подчиня́т
Past M,подчини́л
Past F,подчини́ла
Past N,подчини́ло
Past PL,подчини́ли
Imp S,подчини́
Imp PL,подчини́те
