Infinitive,подре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подре́жу
2nd Sing,подре́жешь
3rd Sing,подре́жет
1st Pl,подре́жем
2nd Pl,подре́жете
3rd Pl,подре́жут
Past M,подре́зал
Past F,подре́зала
Past N,подре́зало
Past PL,подре́зали
Imp S,подре́жь
Imp PL,подре́жьте
