Infinitive,поплати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поплати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поплати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поплачу́сь
2nd Sing,попла́тишься
3rd Sing,попла́тится
1st Pl,попла́тимся
2nd Pl,попла́титесь
3rd Pl,попла́тятся
Past M,поплати́лся
Past F,поплати́лась
Past N,поплати́лось
Past PL,поплати́лись
Imp S,поплати́сь
Imp PL,поплати́тесь
