Infinitive,потемне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потемне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потемне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потемне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потемне́ю
2nd Sing,потемне́ешь
3rd Sing,потемне́ет
1st Pl,потемне́ем
2nd Pl,потемне́ете
3rd Pl,потемне́ют
Past M,потемне́л
Past F,потемне́ла
Past N,потемне́ло
Past PL,потемне́ли
Imp S,потемне́й
Imp PL,потемне́йте
