Infinitive,потяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потяну́
2nd Sing,потя́нешь
3rd Sing,потя́нет
1st Pl,потя́нем
2nd Pl,потя́нете
3rd Pl,потя́нут
Past M,потяну́л
Past F,потяну́ла
Past N,потяну́ло
Past PL,потяну́ли
Imp S,потяни́
Imp PL,потяни́те
