Infinitive,пощекота́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пощекота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пощеко́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пощекота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пощекота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пощекочу́
2nd Sing,пощеко́чешь
3rd Sing,пощеко́чет
1st Pl,пощеко́чем
2nd Pl,пощеко́чете
3rd Pl,пощеко́чут
Past M,пощекота́л
Past F,пощекота́ла
Past N,пощекота́ло
Past PL,пощекота́ли
Imp S,пощекочи́
Imp PL,пощекочи́те
