Infinitive,подхвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подхвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подхва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подхвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подхвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подхвачу́
2nd Sing,подхва́тишь
3rd Sing,подхва́тит
1st Pl,подхва́тим
2nd Pl,подхва́тите
3rd Pl,подхва́тят
Past M,подхвати́л
Past F,подхвати́ла
Past N,подхвати́ло
Past PL,подхвати́ли
Imp S,подхвати́
Imp PL,подхвати́те
