Infinitive,пока́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пока́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пока́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пока́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пока́чиваюсь
2nd Sing,пока́чиваешься
3rd Sing,пока́чивается
1st Pl,пока́чиваемся
2nd Pl,пока́чиваетесь
3rd Pl,пока́чиваются
Past M,пока́чивался
Past F,пока́чивалась
Past N,пока́чивалось
Past PL,пока́чивались
Imp S,пока́чивайся
Imp PL,пока́чивайтесь
