Infinitive,поживи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поживи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поживи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поживлю́сь
2nd Sing,поживи́шься
3rd Sing,поживи́тся
1st Pl,поживи́мся
2nd Pl,поживи́тесь
3rd Pl,поживя́тся
Past M,поживи́лся
Past F,поживи́лась
Past N,поживи́лось
Past PL,поживи́лись
Imp S,поживи́сь
Imp PL,поживи́тесь
