Infinitive,погря́знуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погря́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погря́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,погря́зну
2nd Sing,погря́знешь
3rd Sing,погря́знет
1st Pl,погря́знем
2nd Pl,погря́знете
3rd Pl,погря́знут
Past M,погря́з
Past F,погря́зла
Past N,погря́зло
Past PL,погря́зли
Imp S,погря́зни
Imp PL,погря́зните
