Infinitive,поша́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поша́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поша́рив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поша́ривши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поша́рю
2nd Sing,поша́ришь
3rd Sing,поша́рит
1st Pl,поша́рим
2nd Pl,поша́рите
3rd Pl,поша́рят
Past M,поша́рил
Past F,поша́рила
Past N,поша́рило
Past PL,поша́рили
Imp S,поша́рь
Imp PL,поша́рьте
