Infinitive,поло́ть
Zaliznyak Class,10c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,по́лющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поло́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,по́лотый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,поля́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,поло́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,поло́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,полю́
2nd Sing,по́лешь
3rd Sing,по́лет
1st Pl,по́лем
2nd Pl,по́лете
3rd Pl,по́лют
Past M,поло́л
Past F,поло́ла
Past N,поло́ло
Past PL,поло́ли
Imp S,поли́
Imp PL,поли́те
