Infinitive,постоя́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,постоя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постоя́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,постоя́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,постою́
2nd Sing,постои́шь
3rd Sing,постои́т
1st Pl,постои́м
2nd Pl,постои́те
3rd Pl,постоя́т
Past M,постоя́л
Past F,постоя́ла
Past N,постоя́ло
Past PL,постоя́ли
Imp S,посто́й
Imp PL,посто́йте
