Infinitive,почу́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почу́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почу́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почу́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почу́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,почу́ю
2nd Sing,почу́ешь
3rd Sing,почу́ет
1st Pl,почу́ем
2nd Pl,почу́ете
3rd Pl,почу́ют
Past M,почу́ял
Past F,почу́яла
Past N,почу́яло
Past PL,почу́яли
Imp S,почу́й
Imp PL,почу́йте
