Infinitive,полегча́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полегча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полегча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полегча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полегча́ю
2nd Sing,полегча́ешь
3rd Sing,полегча́ет
1st Pl,полегча́ем
2nd Pl,полегча́ете
3rd Pl,полегча́ют
Past M,полегча́л
Past F,полегча́ла
Past N,полегча́ло
Past PL,полегча́ли
Imp S,полегча́й
Imp PL,полегча́йте
