Infinitive,подши́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подши́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подошью́
2nd Sing,подошьёшь
3rd Sing,подошьёт
1st Pl,подошьём
2nd Pl,подошьёте
3rd Pl,подошью́т
Past M,подши́л
Past F,подши́ла
Past N,подши́ло
Past PL,подши́ли
Imp S,подше́й
Imp PL,подше́йте
