Infinitive,пошевели́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пошевели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пошевели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пошевелю́сь
2nd Sing,пошевели́шься
3rd Sing,пошевели́тся
1st Pl,пошевели́мся
2nd Pl,пошевели́тесь
3rd Pl,пошевеля́тся
Past M,пошевели́лся
Past F,пошевели́лась
Past N,пошевели́лось
Past PL,пошевели́лись
Imp S,пошевели́сь
Imp PL,пошевели́тесь
