Infinitive,подогна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подогна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подогна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подогна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подгоню́
2nd Sing,подго́нишь
3rd Sing,подго́нит
1st Pl,подго́ним
2nd Pl,подго́ните
3rd Pl,подго́нят
Past M,подогна́л
Past F,подогнала́
Past N,подогна́ло
Past PL,подогна́ли
Imp S,подгони́
Imp PL,подгони́те
