Infinitive,подверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подвёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подверну́
2nd Sing,подвернёшь
3rd Sing,подвернёт
1st Pl,подвернём
2nd Pl,подвернёте
3rd Pl,подверну́т
Past M,подверну́л
Past F,подверну́ла
Past N,подверну́ло
Past PL,подверну́ли
Imp S,подверни́
Imp PL,подверни́те
