Infinitive,поясни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поясни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пояснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поясни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поясни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поясню́
2nd Sing,поясни́шь
3rd Sing,поясни́т
1st Pl,поясни́м
2nd Pl,поясни́те
3rd Pl,поясня́т
Past M,поясни́л
Past F,поясни́ла
Past N,поясни́ло
Past PL,поясни́ли
Imp S,поясни́
Imp PL,поясни́те
