Infinitive,потя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,потя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,потя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потя́гиваюсь
2nd Sing,потя́гиваешься
3rd Sing,потя́гивается
1st Pl,потя́гиваемся
2nd Pl,потя́гиваетесь
3rd Pl,потя́гиваются
Past M,потя́гивался
Past F,потя́гивалась
Past N,потя́гивалось
Past PL,потя́гивались
Imp S,потя́гивайся
Imp PL,потя́гивайтесь
