Infinitive,повя́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повя́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повя́зывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повя́зываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повя́зывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,повя́зывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,повя́зывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,повя́зываю
2nd Sing,повя́зываешь
3rd Sing,повя́зывает
1st Pl,повя́зываем
2nd Pl,повя́зываете
3rd Pl,повя́зывают
Past M,повя́зывал
Past F,повя́зывала
Past N,повя́зывало
Past PL,повя́зывали
Imp S,повя́зывай
Imp PL,повя́зывайте
