Infinitive,погова́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погова́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,погова́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погова́ривая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,погова́ривав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,погова́ривавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,погова́риваю
2nd Sing,погова́риваешь
3rd Sing,погова́ривает
1st Pl,погова́риваем
2nd Pl,погова́риваете
3rd Pl,погова́ривают
Past M,погова́ривал
Past F,погова́ривала
Past N,погова́ривало
Past PL,погова́ривали
Imp S,погова́ривай
Imp PL,погова́ривайте
