Infinitive,почеса́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,почеса́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почеса́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,почешу́сь
2nd Sing,поче́шешься
3rd Sing,поче́шется
1st Pl,поче́шемся
2nd Pl,поче́шетесь
3rd Pl,поче́шутся
Past M,почеса́лся
Past F,почеса́лась
Past N,почеса́лось
Past PL,почеса́лись
Imp S,почеши́сь
Imp PL,почеши́тесь
