Infinitive,попя́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попя́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попя́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попя́чусь
2nd Sing,попя́тишься
3rd Sing,попя́тится
1st Pl,попя́тимся
2nd Pl,попя́титесь
3rd Pl,попя́тятся
Past M,попя́тился
Past F,попя́тилась
Past N,попя́тилось
Past PL,попя́тились
Imp S,попя́ться
Imp PL,попя́тьтесь
