Infinitive,покрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,покрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,покрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покрыва́юсь
2nd Sing,покрыва́ешься
3rd Sing,покрыва́ется
1st Pl,покрыва́емся
2nd Pl,покрыва́етесь
3rd Pl,покрыва́ются
Past M,покрыва́лся
Past F,покрыва́лась
Past N,покрыва́лось
Past PL,покрыва́лись
Imp S,покрыва́йся
Imp PL,покрыва́йтесь
