Infinitive,подойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подоше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подойдя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подоше́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подойду́
2nd Sing,подойдёшь
3rd Sing,подойдёт
1st Pl,подойдём
2nd Pl,подойдёте
3rd Pl,подойду́т
Past M,подошёл
Past F,подошла́
Past N,подошло́
Past PL,подошли́
Imp S,подойди́
Imp PL,подойди́те
