Infinitive,помести́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помещу́сь
2nd Sing,помести́шься
3rd Sing,помести́тся
1st Pl,помести́мся
2nd Pl,помести́тесь
3rd Pl,поместя́тся
Past M,помести́лся
Past F,помести́лась
Past N,помести́лось
Past PL,помести́лись
Imp S,помести́сь
Imp PL,помести́тесь
