Infinitive,подыгра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подыгра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поды́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подыгра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подыгра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подыгра́ю
2nd Sing,подыгра́ешь
3rd Sing,подыгра́ет
1st Pl,подыгра́ем
2nd Pl,подыгра́ете
3rd Pl,подыгра́ют
Past M,подыгра́л
Past F,подыгра́ла
Past N,подыгра́ло
Past PL,подыгра́ли
Imp S,подыгра́й
Imp PL,подыгра́йте
