Infinitive,помаха́ть
Zaliznyak Class,6c // 1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помаха́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помаха́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помаха́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помашу́
2nd Sing,пома́шешь
3rd Sing,пома́шет
1st Pl,пома́шем
2nd Pl,пома́шете
3rd Pl,пома́шут
Past M,помаха́л
Past F,помаха́ла
Past N,помаха́ло
Past PL,помаха́ли
Imp S,помаши́
Imp PL,помаши́те
