Infinitive,побуди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,побуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,побуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,побужу́
2nd Sing,побу́дишь
3rd Sing,побу́дит
1st Pl,побу́дим
2nd Pl,побу́дите
3rd Pl,побу́дят
Past M,побуди́л
Past F,побуди́ла
Past N,побуди́ло
Past PL,побуди́ли
Imp S,побуди́
Imp PL,побуди́те
