Infinitive,помышля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помышля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,помышля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помышля́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,помышля́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,помышля́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,помышля́ю
2nd Sing,помышля́ешь
3rd Sing,помышля́ет
1st Pl,помышля́ем
2nd Pl,помышля́ете
3rd Pl,помышля́ют
Past M,помышля́л
Past F,помышля́ла
Past N,помышля́ло
Past PL,помышля́ли
Imp S,помышля́й
Imp PL,помышля́йте
