Infinitive,позвя́кивать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,позвя́кивавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позвя́кивав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,позвя́кивавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,позвя́киваю
2nd Sing,позвя́киваешь
3rd Sing,позвя́кивает
1st Pl,позвя́киваем
2nd Pl,позвя́киваете
3rd Pl,позвя́кивают
Past M,позвя́кивал
Past F,позвя́кивала
Past N,позвя́кивало
Past PL,позвя́кивали
Imp S,позвя́кивай
Imp PL,позвя́кивайте
